,address,coordinates
0,"1870 S 75th St, Omaha, NE 68124, USA","41.24084598,-96.03020737"
1,"116 Eddie Dowling Hwy, North Smithfield, RI 02896, USA","41.98157826,-71.51284391"
2,"4344 Broad River Rd, Columbia, SC 29210, USA","34.07012634,-81.09857223"
3,"191 Iowa Blvd, Trenton, MO 64683, USA","40.06786699,-93.58163967"
4,"850 Maple St, Medical Lake, WA 99022, USA","47.57314563,-117.6939507"
5,"2387 E Prater Way, Sparks, NV 89434, USA","39.54086381,-119.6974544"
6,"614 Eaker St, Eden, TX 76837, USA","31.22129266,-99.84811412"
7,"6807 Emmett F Lowry Expy # 103, Texas City, TX 77591, USA","29.39408738,-94.98604898"
8,"9150 Huebner Rd, San Antonio, TX 78240, USA","29.52688039,-98.59497177"
9,"302 Gobblers Knob Rd, Lufkin, TX 75904, USA","31.30707384,-94.74573876"
10,"220 MS-12, Kosciusko, MS 39090, USA","33.06586615,-89.59836339"
11,"628 S Cowley St, Spokane, WA 99202, USA","47.65024306,-117.4085613"
12,"125 Newman St, Fairfield, TX 75840, USA","31.72534374,-96.17059823"
13,"605 S Archusa Ave, Quitman, MS 39355, USA","32.03053361,-88.72595896"
14,"1208 6th Ave E, Superior, MT 59872, USA","47.18526722,-114.8766482"
15,"2910 Betten Dr, Crete, NE 68333, USA","40.64063773,-96.93554613"
16,"W48J+43 Farmers Branch, TX, USA","32.91526053,-96.86979587"
17,"389 Serpentine Dr, Spartanburg, SC 29303, USA","34.96619278,-81.93606386"
18,"3200 Pleasant Valley Rd, West Bend, WI 53095, USA","43.35575884,-88.19509696"
19,"300 StoneCrest Boulevard, Smyrna, TN 37167, USA","35.97503426,-86.56520216"
20,"45 S 200 W, Roosevelt, UT 84066, USA","40.29890738,-109.9946111"
21,"2300 Westwood Dr, Garland, TX 75042, USA","32.91977573,-96.66210319"
22,"3050 E River Bluff Blvd, Ozark, MO 65721, USA","37.09895339,-93.23474195"
23,"47915 Oasis St, Indio, CA 92201, USA","33.70086462,-116.2216257"
24,"855 Mankato Ave, Winona, MN 55987, USA","44.03345769,-91.62296063"
25,"332 Leavitt Ave, Jordan, MT 59337, USA","47.31887301,-106.9112553"
26,"700 W 13th St, Harper, KS 67058, USA","37.28398912,-98.03292624"
27,"725 American Ave UNIT 3, Waukesha, WI 53188, USA","43.01117699,-88.24255095"
28,"804 Elm St, Florala, AL 36442, USA","31.00048541,-86.31313797"
29,"1400 Hesters Crossing Rd, Round Rock, TX 78681, USA","30.4835233,-97.69343509"
30,"100 Hillcrest Medical Blvd, Waco, TX 76712, USA","31.48918306,-97.15754299"
31,"1160 E 3900 S, Salt Lake City, UT 84124, USA","40.68595827,-111.8571409"
32,"529 Pinnacle Dr, Papillion, NE 68046, USA","41.16113529,-96.0247396"
33,"7218 Crawford Rd, Bartonville, TX 76226, USA","33.13213714,-97.20472606"
34,"1301 Wonder World Dr, San Marcos, TX 78666, USA","29.85248199,-97.94590394"
35,"4730 College Dr, Vernon, TX 76384, USA","34.15535295,-99.32598275"
36,"1 St Francis Dr, Greenville, SC 29601, USA","34.84043897,-82.42139042"
37,"1212 N California St, Stockton, CA 95202, USA","37.96712978,-121.2876016"
38,"420 N James Rd, Whitehall, OH 43219, USA","39.9808247,-82.90958494"
39,"2200 NW 26th St, Owatonna, MN 55060, USA","44.1120137,-93.25109201"
40,"2800 Godwin Blvd, Suffolk, VA 23434, USA","36.77331468,-76.58111118"
41,"565 Radio Hill Rd, Marion, VA 24354, USA","36.85120782,-81.50825791"
42,"3495 Bailey Ave, Buffalo, NY 14215, USA","42.95109263,-78.81215039"
43,"33 Upper Riverdale Rd, Riverdale, GA 30274, USA","33.5793287,-84.3891338"
44,"2400 St Michael Dr, Texarkana, TX 75503, USA","33.46503055,-94.07072522"
45,"333 N Texas Ave #3200, Webster, TX 77598, USA","29.53384927,-95.12619308"
46,"500 W 4th St, Odessa, TX 79761, USA","31.84545145,-102.3738874"
47,"2301 Farm To Market Rd 83, Hemphill, TX 75948, USA","31.33380873,-93.86296451"
48,"1400 Braden St, Jacksonville, AR 72076, USA","34.873582,-92.124839"
49,"135 S Gibson St, Medford, WI 54451, USA","45.13511577,-90.35607112"
